id,title,address,description,lat,lng,category,categories
252,CECOS Centre Tours,"CHRU Hôpitaux de Tours, 2 Boulevard Tonnellé, Tours, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 02 47 47 88 97</p>",47.3873682,0.6693445,"53,54,55,56,57,58,65,64,47,48,49","46,47,48,49,51,53,54,55,56,57,58,64"
253,CECOS Rhône-Alpes Lyon,"Hôpital Femme Mère Enfant - HCL, 59 Boulevard Pinel, Bron, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 04 72 12 94 05</p>",45.7462537,4.9007108,"53,54,55,56,57,58,59,60,61,63,65,64,47,48,49","46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64"
254,CECOS Auvergne Clermont-Ferrand,"1 Rue Lucie et Raymond Aubrac, Clermont-Ferrand, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 04 73 75 02 30</p>",45.784744,3.1091425,"53,54,55,56,57,58,59,60,61,63,65,64,47,48,49","46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64"
255,CECOS Rhône-Alpes Grenoble,"Boulevard de la Chantourne, La Tronche, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 04 76 76 57 53</p>",45.1972831,5.7526445,"53,54,56,57,65,64,47,48,49","46,47,48,49,51,53,54,55,56,57,58,64"
256,CECOS Aquitaine Bordeaux,"Place Amélie Raba Léon, Bordeaux, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 05 56 79 54 31</p>",44.8303453,-0.6028117,"53,54,56,57,58,59,60,61,63,65,64,47,48,49","46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,63,64"
257,CECOS Languedoc Roussillon Montpellier,"37 Avenue du Doyen Gaston Giraud, Montpellier, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 04 67 33 62 99</p>",43.6305986,3.8550135,"53,54,55,56,57,58,65,64,47,48","46,47,48,51,53,54,55,56,57,58,64"
258,CECOS Provence-Alpes-Côte Azur Marseille,"147 Boulevard Baille, Marseille, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 04 91 38 29 00 </p>",43.2907482,5.3960466,"53,54,55,56,57,60,61,65,64,47,48","46,47,48,51,53,54,55,56,57,58,60,61,64"
259,CECOS Provence-Alpes-Côte Azur Nice,"151 Route de Saint-Antoine, Nice, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 04 92 03 64 03 </p>",43.6949727,7.2285024,"56,57,58,65,64,47,48","46,47,48,49,51,54,55,56,57,58,64"
260,CECOS Océan Indien,"97 Avenue du Président Mitterrand, Réunion","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 02 62 35 96 43</p>",-21.3463727,55.4932406,48,"46,48,51,53,55,56,57,58,64"
261,CECOS Caraïbes,"WAB Assurance, Moudong Sud, Baie-Mahault, Guadeloupe","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : +59 05 90 93 46 40</p>",16.2391106,-61.58472709999999,"54,55,56,59,60,61,63,65,47,48","46,47,48,51,54,55,56,59,60,61,63,64"
262,CECOS Paris Jean Verdier Antenne Bichat,"46 Rue Henri Huchard, Paris, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone : 01 40 25 88 84</p>",48.8991197,2.3319984,"55,56,58,65,47,48,49","46,47,48,49,55,56,58,64"
263,CECOS Poissy Saint-Germain-En-Laye,"10 Rue du Champ Gaillard, Poissy, France","<p><a href=""https://www.cecos.org/?page_id=4303"">Contacter par mail</a></p><p>Téléphone Secretariat : 01.39.27.44.56</p><p>Urgence préservation fertilité, astreinte médicale : 06 65 10 53 88</p><p> </p>",48.918867,2.021762,"55,56,57,58,64,47,48,49","47,48,49,55,56,57,58,64"
265,CECOS Nouvelle Aquitaine Limoges,"8 Avenue Dominique Larrey, Limoges, France","<p><a href=""https://www.cecos.org/nous-contacter/"">Contacter par mail</a></p><p>Téléphone  : 05 55 05 80 26</p>",45.8137486,1.2400433,,"46,47,48,51,53,54,55,56,57,59,60,61,63,64"
266,CECOS Nouvelle Aquitaine Poitiers,"2 Rue de la Milétrie, Poitiers, France","<p><a href=""https://www.cecos.org/nous-contacter/"">Contacter par mail</a></p><p>Téléphone  : 05 16 60 40 87</p><p> </p>",46.5568835,0.3829202,,"46,47,48,49,51,54,55,56,57,64"
